split,panoptic_quality,segmentation_quality,recognition_quality,boundary_iou,semantic_iou,instance_iou
validation,0.04429579014098807,0.04429579014098807,39.84962406015037,100.0,0.11020326302856394,48.74373020729508
training,0.04434999350844788,0.044369794479591974,39.88107214423004,100.0,0.10900180040260912,45.81139657492425
